username,registration_date,nb_of_comments,nb_of_cities,age,sex,country,top_cuisines,avg_overall_rating,avg_cuisine_rating,avg_service_rating,avg_quality_price_rating,avg_mood_rating,avg_michelin,avg_price_range_estimation
nathalieval1972,2021,10,2,None,None,None,"{'Restauration_rapide': 3, 'Francaise': 2, 'Europeenne': 2, 'Turque': 1, 'Sushi': 1, 'Pizza': 1, 'Japonaise': 1, 'Italienne': 1, 'Internationale': 1, 'Chinoise': 1, 'Asiatique': 1, 'Americaine': 1}",3.64,2.74,2.67,2.73,0.57,0.0,1.31
Noibenilec,2012,23,189,None,None,france,"{'Mediterraneenne': 2, 'Europeenne': 2, 'Tunisienne': 1, 'Suisse': 1, 'Pakistanaise': 1, 'Marocaine': 1, 'Libanaise': 1, 'Japonaise': 1, 'Internationale': 1, 'Indienne': 1, 'Francaise': 1, 'Europe_centrale': 1, 'Chinoise': 1, 'Bar_a_vins': 1, 'Bar': 1, 'Asiatique': 1}",3.78,3.96,3.85,3.78,3.06,0.0,1.68
simo30112017,2014,31,22,None,None,suisse,"{'Italie_du_Sud': 2, 'Italie_du_Nord': 2, 'Italie_du_Centre': 2, 'Pizza': 1, 'Italienne': 1, 'Francaise': 1, 'Europeenne': 1, 'Chinoise': 1, 'Bar_a_vins': 1, 'Bar': 1, 'Asiatique': 1}",4.44,4.69,4.59,4.43,1.33,0.0,2.19
695guip,2015,105,29,35-49,H,france,"{'Francaise': 21, 'Europeenne': 16, 'Italienne': 12, 'Pizza': 6, 'Mediterraneenne': 6, 'Asiatique': 6, 'Japonaise': 5, 'Americaine': 5, 'Thai': 4, 'Restauration_rapide': 4, 'Fusion': 4, 'Bar': 4, 'Vietnamienne': 3, 'Saine': 3, 'Indienne': 3, 'Chinoise': 3, 'Toscane': 2, 'Sushi': 2, 'Suisse': 2, 'Pub': 2, 'Moderne': 2, 'Marocaine': 2, 'Lombarde': 2, 'Libanaise': 2, 'Italie_du_Nord': 2, 'Italie_du_Centre': 2, 'Bar_a_vins': 2, 'Tunisienne': 1, 'Pakistanaise': 1, 'Grillades': 1}",4.03,3.61,3.42,3.37,1.97,0.07,1.85
AuroreM8,2011,23,100,25-34,F,france,"{'Francaise': 6, 'Europeenne': 4, 'Chinoise': 4, 'Asiatique': 4, 'Japonaise': 3, 'Thai': 2, 'Restauration_rapide': 2, 'Bar': 2, 'Vietnamienne': 1, 'Turque': 1, 'Sushi': 1, 'Italienne': 1, 'Grillades': 1, 'Bar_a_vins': 1}",3.93,3.61,3.53,3.51,1.11,0.11,1.89
Lilou1995,2019,32,22,None,None,None,"{'Francaise': 10, 'Europeenne': 7, 'Bar': 2, 'Vietnamienne': 1, 'Sushi': 1, 'Steakhouse': 1, 'Japonaise': 1, 'Grillades': 1, 'Chinoise': 1, 'Bar_a_vins': 1, 'Asiatique': 1, 'Americaine': 1}",4.18,4.24,4.19,4.08,1.91,0.0,1.9
ldj121,2012,41,36,None,None,france,"{'Francaise': 14, 'Europeenne': 10, 'Italienne': 5, 'Steakhouse': 4, 'Bar': 4, 'Americaine': 4, 'Pub': 3, 'Pizza': 3, 'Bar_a_bieres': 2, 'Vietnamienne': 1, 'Thai': 1, 'Suisse': 1, 'Restauration_rapide': 1, 'Portugaise': 1, 'Japonaise': 1, 'Grillades': 1, 'Chinoise': 1, 'Bar_a_vins': 1, 'Asiatique': 1}",3.59,3.32,3.33,3.24,1.41,0.0,1.75
Patchoul74,2016,6,6,None,None,None,"{'Thai': 1, 'Chinoise': 1, 'Asiatique': 1}",3.5,3.5,3.5,4.0,0.0,0.0,1.0
michele a,2009,2,3,None,None,france,"{'Thai': 1, 'Suisse': 1, 'Francaise': 1, 'Europeenne': 1, 'Chinoise': 1, 'Asiatique': 1}",3.5,3.5,3.5,3.29,2.5,0.0,1.71
jeansauveura,2021,2,1,None,None,None,"{'Chinoise': 2, 'Asiatique': 2, 'Thai': 1, 'Sushi': 1, 'Japonaise': 1}",3.78,3.78,3.78,4.0,0.0,0.0,1.56
J7703ITmanua,2021,1,1,None,None,None,"{'Thai': 1, 'Chinoise': 1, 'Asiatique': 1}",3.5,3.5,3.5,4.0,0.0,0.0,1.0
mrscarovin,2013,49,27,None,None,None,"{'Europeenne': 5, 'Francaise': 4, 'Asiatique': 3, 'Pizza': 2, 'Japonaise': 2, 'Italienne': 2, 'Chinoise': 2, 'Bar': 2, 'Thai': 1, 'Sushi': 1, 'Suisse': 1, 'Restauration_rapide': 1, 'Pub': 1, 'Napolitaine': 1, 'Mediterraneenne': 1, 'Moderne': 1, 'Mexicaine': 1, 'Italie_du_Sud': 1, 'Internationale': 1, 'Espagnole': 1, 'Campanie': 1, 'Cafe': 1, 'Bar_a_vins': 1, 'Bar_a_bieres': 1}",4.23,2.6,2.6,2.49,1.56,0.09,1.93
Noemie W,2017,7,7,None,None,None,"{'Chinoise': 3, 'Asiatique': 3, 'Sushi': 2, 'Japonaise': 2, 'Thai': 1}",3.67,3.67,3.67,4.0,1.33,0.0,1.67
Isabel M,2015,18,12,35-49,F,suisse,"{'Thai': 2, 'Pizza': 2, 'Italienne': 2, 'Europeenne': 2, 'Chinoise': 2, 'Asiatique': 2, 'Mediterraneenne': 1, 'Francaise': 1}",3.72,3.82,3.85,3.9,1.5,0.0,1.4
didierg435,2015,457,217,35-49,H,france,"{'Francaise': 9, 'Europeenne': 7, 'Asiatique': 4, 'Suisse': 3, 'Chinoise': 3, 'Bar': 3, 'Thai': 2, 'Pub': 2, 'Pizza': 2, 'Japonaise': 2, 'Italienne': 2, 'Cafe': 2, 'Sushi': 1, 'Restauration_rapide': 1, 'Internationale': 1, 'Europe_centrale': 1, 'Bar_a_vins': 1}",3.94,3.46,3.44,3.34,2.36,0.0,1.77
YDela,2019,3,4,None,None,france,"{'Asiatique': 2, 'Thai': 1, 'Japonaise': 1, 'Hawaienne': 1, 'Chinoise': 1}",4.25,1.75,1.75,2.0,0.0,0.0,1.5
BuiAnne,2019,3,3,None,None,None,"{'Thai': 1, 'Pizza': 1, 'Italienne': 1, 'Francaise': 1, 'Chinoise': 1, 'Asiatique': 1}",3.25,3.25,3.5,3.5,1.5,0.0,1.5
nonaeva,2012,50,164,50-64,H,italie,"{'Thai': 1, 'Francaise': 1, 'Europeenne': 1, 'Chinoise': 1, 'Asiatique': 1}",4.0,4.25,4.25,4.5,0.0,0.0,1.0
Saraax,2019,2,2,None,None,None,"{'Thai': 2, 'Asiatique': 2, 'Chinoise': 1}",3.75,3.5,3.75,3.75,0.0,0.0,1.5
Pandora_13502,2019,1,1,None,None,None,"{'Thai': 1, 'Chinoise': 1, 'Asiatique': 1}",3.5,3.5,3.5,4.0,0.0,0.0,1.0
841laetitiat,2015,15,11,None,None,None,"{'Francaise': 3, 'Thai': 1, 'Saine': 1, 'Chinoise': 1, 'Asiatique': 1, 'Americaine': 1}",4.02,4.02,4.02,3.9,1.52,0.24,2.05
Marlon D,2019,2,3,None,None,None,"{'Thai': 1, 'Chinoise': 1, 'Asiatique': 1}",3.5,3.5,3.5,4.0,0.0,0.0,1.0
fredetmarie74,2014,29,13,None,None,france,"{'Francaise': 2, 'Europeenne': 2, 'Thai': 1, 'Italienne': 1, 'Fusion': 1, 'Chinoise': 1, 'Asiatique': 1}",4.25,4.25,4.25,4.0,2.34,0.0,2.19
490thierryp,2014,32,22,None,None,france,"{'Francaise': 3, 'Thai': 1, 'Italie_du_Sud': 1, 'Italie_du_Nord': 1, 'Italie_du_Centre': 1, 'Europeenne': 1, 'Chinoise': 1, 'Asiatique': 1}",4.39,4.53,4.39,4.24,1.05,0.0,2.16
richard r,2014,77,37,35-49,H,france,"{'Thai': 1, 'Chinoise': 1, 'Asiatique': 1}",3.5,3.5,3.5,4.0,0.0,0.0,1.0
mamyd2014,2014,15,13,None,None,france,"{'Toscane': 1, 'Thai': 1, 'Pakistanaise': 1, 'Mediterraneenne': 1, 'Japonaise': 1, 'Italienne': 1, 'Italie_du_Centre': 1, 'Indienne': 1, 'Europeenne': 1, 'Chinoise': 1, 'Asiatique': 1, 'Americaine': 1}",3.81,3.91,3.78,3.72,1.0,0.0,1.81
La-et-tii,2018,14,7,None,None,france,"{'Francaise': 5, 'Asiatique': 3, 'Pizza': 2, 'Italienne': 2, 'Europeenne': 2, 'Vietnamienne': 1, 'Turque': 1, 'Thai': 1, 'Sushi': 1, 'Saine': 1, 'Nepalaise': 1, 'Japonaise': 1, 'Indienne': 1, 'Chinoise': 1}",4.3,2.5,2.5,2.5,1.12,0.0,1.61
L9955MVmariet,2015,30,19,None,None,france,"{'Francaise': 8, 'Europeenne': 6, 'Steakhouse': 2, 'Asiatique': 2, 'Americaine': 2, 'Thai': 1, 'Saine': 1, 'Restauration_rapide': 1, 'Pub': 1, 'Pizza': 1, 'Pakistanaise': 1, 'Mediterraneenne': 1, 'Libanaise': 1, 'Japonaise': 1, 'Italienne': 1, 'Indienne': 1, 'Fusion': 1, 'Chinoise': 1, 'Bar': 1}",3.89,3.71,3.6,3.4,2.12,0.0,1.91
fjv1975,2015,91,43,None,None,france,"{'Francaise': 9, 'Europeenne': 5, 'Saine': 4, 'Suisse': 1, 'Japonaise': 1, 'Chinoise': 1, 'Asiatique': 1}",3.88,3.66,3.56,3.35,2.43,0.32,2.04
eoline39,2016,39,30,None,None,france,"{'Francaise': 4, 'Europeenne': 4, 'Pizza': 3, 'Italienne': 3, 'Vietnamienne': 1, 'Thai': 1, 'Saine': 1, 'Mediterraneenne': 1, 'Indienne': 1, 'Chinoise': 1, 'Asiatique': 1, 'Americaine': 1}",3.9,3.6,3.51,3.39,1.74,0.0,1.93
858laurel,2017,11,7,None,None,republique tcheque,"{'Francaise': 2, 'Europeenne': 2, 'Japonaise': 1, 'Chinoise': 1, 'Asiatique': 1}",4.14,4.18,4.18,3.73,3.95,0.0,1.91
64Arnaud74,2007,115,93,None,None,france,"{'Francaise': 26, 'Europeenne': 18, 'Italienne': 4, 'Suisse': 2, 'Bar': 2, 'Americaine': 2, 'Saine': 1, 'Restauration_rapide': 1, 'Pizza': 1, 'Moderne': 1, 'Japonaise': 1, 'Chinoise': 1, 'Cafe': 1, 'Asiatique': 1}",4.21,3.92,3.92,3.66,2.39,0.06,1.98
neyka,2012,15,340,None,None,None,"{'Europeenne': 2, 'Sushi': 1, 'Pakistanaise': 1, 'Japonaise': 1, 'Italienne': 1, 'Indienne': 1, 'Francaise': 1, 'Chinoise': 1, 'Asiatique': 1}",4.16,4.16,4.16,3.84,3.75,0.0,2.0
Linca1,2012,56,48,None,None,france,"{'Francaise': 7, 'Europeenne': 7, 'Pizza': 3, 'Italienne': 3, 'Vietnamienne': 2, 'Asiatique': 2, 'polonaise': 1, 'cambodgienne': 1, 'Thai': 1, 'Suisse': 1, 'Saine': 1, 'Napolitaine': 1, 'Mediterraneenne': 1, 'Italie_du_Sud': 1, 'Internationale': 1, 'Chinoise': 1, 'Campanie': 1}",3.9,3.74,3.67,3.48,2.6,0.09,2.07
Charleneloanne,2015,10,6,None,None,france,"{'Francaise': 4, 'Europeenne': 4, 'Japonaise': 1, 'Chinoise': 1, 'Asiatique': 1}",4.3,4.37,4.37,3.93,3.93,0.0,1.87
Alex3826,2013,62,41,None,None,france,"{'Francaise': 5, 'Europeenne': 4, 'Japonaise': 2, 'Chinoise': 2, 'Asiatique': 2, 'Vietnamienne': 1, 'Sushi': 1, 'Suisse': 1, 'Pub': 1, 'Grillades': 1, 'Bar': 1}",3.54,3.73,3.68,3.57,2.62,0.0,1.61
corsicananou,2013,131,94,50-64,F,france,"{'Francaise': 6, 'Europeenne': 5, 'Indienne': 2, 'Suisse': 1, 'Pizza': 1, 'Pakistanaise': 1, 'Mediterraneenne': 1, 'Japonaise': 1, 'Italienne': 1, 'Chinoise': 1, 'Brasserie_gastronomique': 1, 'Asiatique': 1}",3.88,4.13,3.98,3.67,3.44,0.12,2.02
PatrickG2652,2012,69,221,None,None,france,"{'Francaise': 11, 'Europeenne': 8, 'Steakhouse': 4, 'Italienne': 3, 'Americaine': 3, 'Saine': 2, 'Restauration_rapide': 2, 'Vietnamienne': 1, 'Thai': 1, 'Pizza': 1, 'Mediterraneenne': 1, 'Indienne': 1, 'Grillades': 1, 'Chinoise': 1, 'Bar_a_bieres': 1, 'Bar': 1, 'Asiatique': 1, 'Africaine': 1}",3.87,4.04,3.9,3.71,2.14,0.19,2.15
filoupet,2013,70,40,None,None,suisse,"{'Europeenne': 16, 'Francaise': 15, 'Suisse': 6, 'Internationale': 4, 'Bar': 3, 'Saine': 2, 'Pub': 2, 'Mediterraneenne': 2, 'Chinoise': 2, 'Cafe': 2, 'Asiatique': 2, 'Steakhouse': 1, 'Restauration_rapide': 1, 'Italienne': 1, 'Europe_centrale': 1, 'Brasserie_gastronomique': 1, 'Belge': 1, 'Bar_a_vins': 1}",4.1,4.19,4.09,3.78,3.32,0.29,2.28
nanoul501,2016,29,18,None,None,france,"{'Europeenne': 3, 'Sushi': 2, 'Japonaise': 2, 'Francaise': 2, 'Asiatique': 2, 'Pizza': 1, 'Mediterraneenne': 1, 'Italienne': 1, 'Chinoise': 1}",4.32,4.41,4.2,3.89,3.16,0.0,2.0
Lilithms,2009,15,105,None,None,france,"{'Europeenne': 6, 'Francaise': 5, 'Turque': 1, 'Japonaise': 1, 'Italienne': 1, 'Internationale': 1, 'Chinoise': 1, 'Asiatique': 1, 'Americaine': 1}",4.08,2.94,2.92,2.72,2.53,0.0,1.67
jutu54,2017,29,21,None,None,france,"{'Sushi': 1, 'Restauration_rapide': 1, 'Japonaise': 1, 'Francaise': 1, 'Europeenne': 1, 'Chinoise': 1, 'Asiatique': 1}",3.6,3.0,3.0,2.8,1.6,0.0,1.4
Laurent_Lorr,2011,237,149,35-49,H,None,"{'Francaise': 33, 'Europeenne': 28, 'Suisse': 10, 'Italienne': 8, 'Pizza': 4, 'Saine': 3, 'Mediterraneenne': 2, 'Internationale': 2, 'Indienne': 2, 'Fusion': 2, 'Europe_centrale': 2, 'Brasserie_gastronomique': 2, 'Bar': 2, 'Steakhouse': 1, 'Pub': 1, 'Portugaise': 1, 'Pakistanaise': 1, 'Japonaise': 1, 'Chinoise': 1, 'Asiatique': 1}",4.2,4.13,4.13,3.82,2.46,0.14,2.15
GeorgesB322,2012,100,164,None,None,france,"{'Francaise': 46, 'Europeenne': 32, 'Saine': 3, 'Pizza': 3, 'Moderne': 3, 'Italienne': 3, 'Suisse': 2, 'Mediterraneenne': 2, 'Asiatique': 2, 'Vietnamienne': 1, 'Thai': 1, 'Libanaise': 1, 'Indienne': 1, 'Chinoise': 1, 'Brasserie_gastronomique': 1, 'Bar': 1}",4.18,3.85,3.8,3.68,2.67,0.14,1.94
yamina b,2013,12,13,35-49,F,france,"{'Vietnamienne': 2, 'Thai': 2, 'Japonaise': 2, 'Francaise': 2, 'Chinoise': 2, 'Asiatique': 2, 'Saine': 1, 'Mediterraneenne': 1, 'Libanaise': 1, 'Fusion': 1, 'Europeenne': 1}",3.92,4.06,3.81,3.78,2.28,0.0,1.72
aliator2010,2016,67,38,35-49,None,france,"{'Francaise': 8, 'Europeenne': 6, 'Suisse': 2, 'Japonaise': 2, 'Italienne': 2, 'Chinoise': 2, 'Asiatique': 2, 'Saine': 1, 'Restauration_rapide': 1, 'Pizza': 1, 'Diner': 1}",3.82,3.6,3.6,3.45,2.76,0.0,1.54
miyako74,2016,63,40,None,None,france,"{'Europeenne': 10, 'Francaise': 9, 'Italienne': 7, 'Pizza': 4, 'Indienne': 4, 'Asiatique': 4, 'Thai': 3, 'Mediterraneenne': 3, 'Saine': 2, 'Pakistanaise': 2, 'Fusion': 2, 'Vietnamienne': 1, 'Suisse': 1, 'Moderne': 1, 'Libanaise': 1, 'Japonaise': 1, 'Italie_du_Nord': 1, 'Chinoise': 1, 'Brasserie_gastronomique': 1, 'Americaine': 1}",4.12,4.26,4.1,4.02,2.84,0.11,2.06
MarcS012,2010,229,158,None,None,suisse,"{'Europeenne': 25, 'Suisse': 18, 'Francaise': 14, 'Italienne': 13, 'Pizza': 8, 'Mediterraneenne': 4, 'Europe_centrale': 4, 'Traiteur': 3, 'Steakhouse': 3, 'Asiatique': 3, 'Thai': 2, 'Pub': 2, 'Americaine': 2, 'Saine': 1, 'Romana': 1, 'Restauration_rapide': 1, 'Napolitaine': 1, 'Lombarde': 1, 'Latium': 1, 'Italie_du_Sud': 1, 'Italie_du_Nord': 1, 'Italie_du_Centre': 1, 'Internationale': 1, 'Indienne': 1, 'Espagnole': 1, 'Chinoise': 1, 'Campanie': 1, 'Brasserie_gastronomique': 1, 'Belge': 1, 'Bar_a_vins': 1, 'Bar': 1}",4.2,4.04,3.91,3.84,2.66,0.0,2.01
Pauly972,2015,32,75,None,None,suisse,"{'Europeenne': 3, 'Saine': 1, 'Restauration_rapide': 1, 'Moderne': 1, 'Libanaise': 1, 'Italienne': 1, 'Internationale': 1, 'Francaise': 1, 'Chinoise': 1, 'Cafe': 1, 'Asiatique': 1, 'Americaine': 1}",4.25,4.38,3.89,3.88,2.53,0.0,1.84
593st_phaniec,2009,65,92,None,None,None,"{'Francaise': 5, 'Europeenne': 4, 'Chinoise': 2, 'Asiatique': 2, 'Vietnamienne': 1, 'Sushi': 1, 'Suisse': 1, 'Pakistanaise': 1, 'Japonaise': 1, 'Internationale': 1, 'Indienne': 1}",3.97,4.04,3.97,3.71,2.56,0.21,2.21
Expedition742641,2017,11,7,None,None,france,"{'Sushi': 1, 'Japonaise': 1, 'Francaise': 1, 'Europeenne': 1, 'Chinoise': 1, 'Asiatique': 1}",4.29,4.29,4.29,4.0,2.29,0.0,2.0
ViiOo-74,2016,5,6,None,None,france,"{'Francaise': 2, 'Europeenne': 2, 'Vietnamienne': 1, 'Sushi': 1, 'Japonaise': 1, 'Grillades': 1, 'Chinoise': 1, 'Asiatique': 1}",4.45,4.45,4.23,4.0,3.64,0.0,2.36
mathieuc132,2012,82,48,None,None,france,"{'Francaise': 11, 'Europeenne': 8, 'Grillades': 3, 'Suisse': 2, 'Mediterraneenne': 2, 'Lombarde': 2, 'Italienne': 2, 'Italie_du_Nord': 2, 'Indienne': 2, 'Chinoise': 2, 'Asiatique': 2, 'Vietnamienne': 1, 'Sushi': 1, 'Saine': 1, 'Libanaise': 1, 'Japonaise': 1, 'Internationale': 1, 'Fusion': 1, 'Bar': 1}",3.89,4.04,3.89,3.67,3.16,0.09,2.0
phanton32,2017,8,7,None,None,suisse,"{'Francaise': 3, 'Europeenne': 3, 'Suisse': 1, 'Chinoise': 1, 'Asiatique': 1}",4.12,4.26,4.12,3.76,2.94,0.0,2.0
SERGIOFANTONIO,2016,29,26,50-64,H,france,"{'Francaise': 5, 'Europeenne': 3, 'Vietnamienne': 1, 'Sushi': 1, 'Japonaise': 1, 'Italienne': 1, 'Grillades': 1, 'Chinoise': 1, 'Asiatique': 1}",4.25,4.31,4.31,3.96,2.56,0.0,1.85
palmeraie225,2015,14,6,None,None,None,"{'Francaise': 5, 'Europeenne': 5, 'Mediterraneenne': 2, 'Italienne': 2, 'Vietnamienne': 1, 'Thai': 1, 'Saine': 1, 'Pizza': 1, 'Moderne': 1, 'Marocaine': 1, 'Chinoise': 1, 'Asiatique': 1}",4.14,4.22,4.22,3.97,3.42,0.08,2.14
emalisa,2016,83,52,None,None,suisse,"{'Europeenne': 17, 'Francaise': 15, 'Suisse': 9, 'Italienne': 6, 'Pizza': 5, 'Mediterraneenne': 4, 'Brasserie_gastronomique': 2, 'Bar_a_vins': 2, 'Bar': 2, 'Traiteur': 1, 'Toscane': 1, 'Saine': 1, 'Pub': 1, 'Japonaise': 1, 'Italie_du_Centre': 1, 'Europe_centrale': 1, 'Chinoise': 1, 'Bar_a_bieres': 1, 'Asiatique': 1, 'Americaine': 1}",4.06,4.08,3.96,3.71,3.09,0.1,1.98
claireMaur1,2015,33,21,None,None,france,"{'Sushi': 3, 'Japonaise': 3, 'Asiatique': 3, 'Restauration_rapide': 2, 'Francaise': 2, 'Europeenne': 2, 'Chinoise': 2, 'Turque': 1}",3.85,3.84,4.13,3.53,1.52,0.0,1.97
SPG77,2007,166,309,35-49,H,france,"{'Europeenne': 57, 'Francaise': 46, 'Suisse': 22, 'Italienne': 14, 'Asiatique': 14, 'Pizza': 11, 'Mediterraneenne': 11, 'Japonaise': 9, 'Americaine': 6, 'Sushi': 5, 'Fusion': 5, 'Brasserie_gastronomique': 5, 'Restauration_rapide': 4, 'Grillades': 4, 'Chinoise': 4, 'Cafe': 4, 'Steakhouse': 3, 'Saine': 3, 'Peruvienne': 3, 'Moderne': 3, 'Latino': 3, 'Internationale': 3, 'Indienne': 3, 'Europe_centrale': 3, 'Thai': 2, 'Pakistanaise': 2, 'Libanaise': 2, 'Coreenne': 2, 'Amerique_centrale': 2, 'Africaine': 2, 'Ethiopienne': 1, 'Vietnamienne': 1, 'Toscane': 1, 'Tibetaine': 1, 'Portugaise': 1, 'Nepalaise': 1, 'Napolitaine': 1, 'Mexicaine': 1, 'Italie_du_Sud': 1, 'Italie_du_Centre': 1, 'Hawaienne': 1, 'Grecque': 1, 'Espagnole': 1, 'Diner': 1, 'Campanie': 1, 'Belge': 1, 'Bar_a_vins': 1, 'Bar_a_bieres': 1, 'Bar': 1, 'Afghane': 1}",4.09,3.9,3.82,3.59,2.1,0.08,2.01
spartgirlGva,2012,68,57,25-34,F,suisse,"{'Francaise': 13, 'Europeenne': 12, 'Asiatique': 4, 'Japonaise': 3, 'Italienne': 3, 'Suisse': 2, 'Saine': 2, 'Mediterraneenne': 2, 'Thai': 1, 'Sushi': 1, 'Moderne': 1, 'Italie_du_Nord': 1, 'Internationale': 1, 'Indienne': 1, 'Chinoise': 1, 'Brasserie_gastronomique': 1, 'Americaine': 1}",4.17,4.22,4.12,3.9,3.07,0.31,2.38
b0uteillerg,2016,50,31,25-34,F,france,"{'Francaise': 5, 'Restauration_rapide': 2, 'Europeenne': 2, 'Japonaise': 1, 'Internationale': 1, 'Indienne': 1, 'Chinoise': 1, 'Asiatique': 1, 'Americaine': 1}",3.31,3.45,3.55,3.47,1.81,0.0,1.47
mai-lou d,2014,70,41,None,None,france,"{'Francaise': 11, 'Europeenne': 10, 'Indienne': 3, 'Steakhouse': 2, 'Pakistanaise': 2, 'Chinoise': 2, 'Asiatique': 2, 'Vietnamienne': 1, 'Thai': 1, 'Suisse': 1, 'Saine': 1, 'Mediterraneenne': 1, 'Marocaine': 1, 'Libanaise': 1, 'Japonaise': 1, 'Internationale': 1, 'Grillades': 1, 'Fusion': 1, 'Europe_centrale': 1, 'Americaine': 1}",4.07,4.18,4.06,3.71,3.28,0.12,2.13
bracherfranc,2016,36,21,None,None,france,"{'Vietnamienne': 3, 'Thai': 3, 'Francaise': 3, 'Chinoise': 3, 'Asiatique': 3, 'Europeenne': 1}",4.18,3.27,3.09,3.0,0.36,0.0,1.64
N1024XPmaryc,2013,44,47,None,None,italie,"{'Francaise': 6, 'Europeenne': 3, 'Vietnamienne': 1, 'Thai': 1, 'Italienne': 1, 'Chinoise': 1, 'Bar': 1, 'Asiatique': 1}",4.43,3.53,3.52,3.57,2.6,0.0,1.67
MyungHH,2016,9,5,None,None,royaume-uni,"{'Japonaise': 1, 'Francaise': 1, 'Europeenne': 1, 'Chinoise': 1, 'Asiatique': 1}",4.2,4.3,4.3,3.9,3.9,0.0,1.8
Jess74250,2016,44,33,None,None,france,"{'Francaise': 7, 'Europeenne': 6, 'Brasserie_gastronomique': 2, 'Pub': 1, 'Pizza': 1, 'Japonaise': 1, 'Italienne': 1, 'Indienne': 1, 'Chinoise': 1, 'Bar': 1, 'Asiatique': 1}",4.06,4.13,4.12,3.84,1.5,0.0,1.77
PaulT791,2012,28,12,None,None,None,"{'Europeenne': 7, 'Suisse': 3, 'Francaise': 3, 'Pizza': 2, 'Napolitaine': 2, 'Italienne': 2, 'Italie_du_Sud': 2, 'Campanie': 2, 'Asiatique': 2, 'Thai': 1, 'Mediterraneenne': 1, 'Chinoise': 1, 'Cafe': 1, 'Brasserie_gastronomique': 1}",4.18,4.3,4.26,3.85,3.26,0.18,2.18
Alexandre_1405,2013,12,84,None,None,suisse,"{'Sushi': 2, 'Japonaise': 2, 'Francaise': 2, 'Europeenne': 2, 'Asiatique': 2, 'Indienne': 1, 'Chinoise': 1}",3.85,4.03,3.92,3.9,3.82,0.0,2.0
icazec,2015,148,127,50-64,F,None,"{'Europeenne': 25, 'Francaise': 16, 'Italienne': 11, 'Suisse': 8, 'Pizza': 8, 'Asiatique': 8, 'Restauration_rapide': 7, 'Mediterraneenne': 7, 'Cafe': 4, 'Americaine': 4, 'Sushi': 3, 'Japonaise': 3, 'Italie_du_Sud': 3, 'Chinoise': 3, 'Bar': 3, 'Thai': 2, 'Saine': 2, 'Napolitaine': 2, 'Libanaise': 2, 'Indienne': 2, 'Diner': 2, 'Campanie': 2, 'Brasserie_gastronomique': 2, 'Vietnamienne': 1, 'Traiteur': 1, 'Steakhouse': 1, 'Sicilienne': 1, 'Pub': 1, 'Portugaise': 1, 'Mexicaine': 1, 'Marocaine': 1, 'Internationale': 1, 'Grillades': 1}",3.88,3.64,3.56,3.46,2.26,0.04,1.87
Sissiz_12,2012,38,42,None,None,suisse,"{'Francaise': 3, 'Europeenne': 3, 'Suisse': 2, 'Steakhouse': 1, 'Chinoise': 1}",4.39,4.39,4.39,4.03,1.78,0.0,1.72
899cl_mencef,2016,18,34,None,None,france,"{'Europeenne': 8, 'Francaise': 7, 'Sushi': 1, 'Steakhouse': 1, 'Saine': 1, 'Mediterraneenne': 1, 'Japonaise': 1, 'Italienne': 1, 'Fusion': 1, 'Chinoise': 1, 'Asiatique': 1, 'Americaine': 1}",3.99,4.05,4.04,3.81,3.92,0.24,2.38
BzzIV,2016,9,8,None,None,france,"{'Francaise': 6, 'Europeenne': 3, 'Saine': 2, 'Vietnamienne': 1, 'Thai': 1, 'Suisse': 1, 'Japonaise': 1, 'Chinoise': 1, 'Asiatique': 1}",4.12,4.11,4.03,3.81,2.75,0.16,2.19
_Corinn74_,2016,29,13,None,None,france,"{'Francaise': 3, 'Europeenne': 3, 'Sushi': 1, 'Japonaise': 1, 'Chinoise': 1, 'Asiatique': 1}",4.05,4.05,4.05,3.77,2.68,0.0,2.18
Qinstafood,2012,152,79,18-24,H,france,"{'Francaise': 44, 'Europeenne': 35, 'Saine': 9, 'Suisse': 6, 'Bar': 4, 'Pub': 3, 'Moderne': 3, 'Italienne': 3, 'Internationale': 3, 'Mediterraneenne': 2, 'Asiatique': 2, 'Steakhouse': 1, 'Pizza': 1, 'Indienne': 1, 'Europe_centrale': 1, 'Chinoise': 1, 'Cafe': 1, 'Americaine': 1}",4.08,4.14,4.11,3.86,3.21,0.14,2.14
Manugil,2009,97,406,50-64,H,suisse,"{'Europeenne': 61, 'Francaise': 51, 'Suisse': 29, 'Mediterraneenne': 13, 'Italienne': 11, 'Pizza': 8, 'Steakhouse': 4, 'Brasserie_gastronomique': 4, 'Napolitaine': 3, 'Italie_du_Sud': 3, 'Europe_centrale': 3, 'Campanie': 3, 'Internationale': 2, 'Chinoise': 2, 'Cafe': 2, 'Bar': 2, 'Asiatique': 2, 'Traiteur': 1, 'Thai': 1, 'Saine': 1, 'Pub': 1, 'Portugaise': 1, 'Moderne': 1, 'Espagnole': 1, 'Croate': 1, 'Bar_a_vins': 1, 'Bar_a_bieres': 1, 'Asie_centrale': 1, 'Americaine': 1}",3.94,4.09,3.99,3.79,3.26,0.07,2.05
GFELLERA,2010,36,160,50-64,F,None,"{'Francaise': 3, 'Europeenne': 2, 'Mediterraneenne': 1, 'Libanaise': 1, 'Chinoise': 1, 'Asiatique': 1}",4.36,4.38,4.33,3.95,2.05,0.0,2.19
